plate_barcode,platemap_file
CARD-CelIns-CX7_251125110001,Target_Selective_Library_Screen_Plate_1
CARD-CelIns-CX7_251023210001,Target_Selective_Library_Screen_Plate_1
CARD-CelIns-CX7_251126130001,Target_Selective_Library_Screen_Plate_1
CARD-CelIns-CX7_251124150001,Target_Selective_Library_Screen_Plate_1
CARD-CelIns-CX7_251201190001,Target_Selective_Library_Screen_Plate_2
CARD-CelIns-CX7_251201110001,Target_Selective_Library_Screen_Plate_2
CARD-CelIns-CX7_251130110002,Target_Selective_Library_Screen_Plate_2
CARD-CelIns-CX7_251202100001,Target_Selective_Library_Screen_Plate_2
CARD-CelIns-CX7_251205100001,Target_Selective_Library_Screen_Plate_3
CARD-CelIns-CX7_251203170001,Target_Selective_Library_Screen_Plate_3
CARD-CelIns-CX7_251208160001,Target_Selective_Library_Screen_Plate_3
CARD-CelIns-CX7_251210180001,Target_Selective_Library_Screen_Plate_3
CARD-CelIns-CX7_251212180001,Target_Selective_Library_Screen_Plate_4
CARD-CelIns-CX7_251211180001,Target_Selective_Library_Screen_Plate_4
CARD-CelIns-CX7_251212100001,Target_Selective_Library_Screen_Plate_4
CARD-CelIns-CX7_251213150001,Target_Selective_Library_Screen_Plate_4
CARD-CelIns-CX7_251216180001,Target_Selective_Library_Screen_Plate_5
CARD-CelIns-CX7_251215140002,Target_Selective_Library_Screen_Plate_5
CARD-CelIns-CX7_251217120001,Target_Selective_Library_Screen_Plate_5
CARD-CelIns-CX7_251216110001,Target_Selective_Library_Screen_Plate_5
CARD-CelIns-CX7_251220120001,Target_Selective_Library_Screen_Plate_6
CARD-CelIns-CX7_251219170001,Target_Selective_Library_Screen_Plate_6
CARD-CelIns-CX7_251229110001,Target_Selective_Library_Screen_Plate_6
CARD-CelIns-CX7_251217190001,Target_Selective_Library_Screen_Plate_6
CARD-CelIns-CX7_260102130001,Target_Selective_Library_Screen_Plate_7
CARD-CelIns-CX7_251230180001,Target_Selective_Library_Screen_Plate_7
CARD-CelIns-CX7_251231100001,Target_Selective_Library_Screen_Plate_7
CARD-CelIns-CX7_251230110001,Target_Selective_Library_Screen_Plate_7
CARD-CelIns-CX7_260103180001,Target_Selective_Library_Screen_Plate_8
CARD-CelIns-CX7_260105100001,Target_Selective_Library_Screen_Plate_8
CARD-CelIns-CX7_260103110001,Target_Selective_Library_Screen_Plate_8
CARD-CelIns-CX7_260104140001,Target_Selective_Library_Screen_Plate_8
CARD-CelIns-CX7_260107160001,Target_Selective_Library_Screen_Plate_9
CARD-CelIns-CX7_260108130001,Target_Selective_Library_Screen_Plate_9
CARD-CelIns-CX7_260106160001,Target_Selective_Library_Screen_Plate_9
CARD-CelIns-CX7_260109070001,Target_Selective_Library_Screen_Plate_9
CARD-CelIns-CX7_260112100001,Target_Selective_Library_Screen_Plate_10
CARD-CelIns-CX7_260113090001,Target_Selective_Library_Screen_Plate_10
CARD-CelIns-CX7_260110170001,Target_Selective_Library_Screen_Plate_10
CARD-CelIns-CX7_260111110001,Target_Selective_Library_Screen_Plate_10
CARD-CelIns-CX7_260114180001,Target_Selective_Library_Screen_Plate_11
CARD-CelIns-CX7_260115110001,Target_Selective_Library_Screen_Plate_11
CARD-CelIns-CX7_260114100001,Target_Selective_Library_Screen_Plate_11
CARD-CelIns-CX7_260113180001,Target_Selective_Library_Screen_Plate_11
